XML_ID|AMOUNT
4370768|305
7096693|46
13206181|9
241647|102
142036|231
7306243|73
1694115|209
959973|85
5896754|111
11471128|405
4225374|64
5342997|301
7258695|24
7787495|874
9683190|45
10261180|12
1204076|237
4561322|5
6929320|1521
9695491|546
11082968|57
12615754|87
10677074|5
1577437|42
2915041|10
5293111|32
5542409|124
10270409|93
10242662|22
1208107|58
144919|27
253306|171
376247|947
7710706|231
8285142|950
9690283|46
642114|60
5436385|85
6109791|246
6277168|1372
9690331|134
10122398|73
9689988|186
12103958|110
144314|391
2640669|150
4437882|1226
4988026|114
5137889|350
8092034|190
13823751|68
145019|26
146589|73
956259|12
6480115|30
10394655|75
12880740|61
12588933|136
14409002|13
13772454|114
142595|89
431819|117
5186238|34
9764306|139
10470179|5
147075|1033
241465|36
6089373|27
7216866|14
11528810|24
1092900|192
243181|266
5131196|458
4681458|592
14272930|31
253303|620
7197388|141
10738543|13
5274177|2135
7188820|36
10461924|22
11435558|23
5115768|231
5328162|40
4630884|106
6574683|791
10734293|14
3179257|48
6998903|140
11599712|35
10398851|4
10737365|5
1645719|43
235485|30
146588|39
143749|87
809305|623
8125009|86
12588932|222
141748|1361
5773108|1311
9735291|7
10494029|38
10370452|108
13840913|144
13769132|96
12961161|30
142084|54
2694495|52
3891337|506
3947527|623
4642133|69
11621365|45
6912016|69
7438808|96
10260220|67
11984891|202
13823745|17
1063067|450
431945|63
3986249|40
9735760|322
10033204|36
11514973|16
10459952|42
235387|357
146398|49
6318548|309
11018332|576
10632876|26
12183652|28
6556127|67
10460414|10
12746612|6
14335301|123
239228|177
145663|193
4175009|263
9077978|51
13375311|37
14488135|325
529396|61
232303|238
10239363|1863
10926393|41
146354|206
241695|75
867597|22
6659622|139
9458202|244
10281299|22
14382477|10
6672932|13
9089668|26
9674314|79
10411018|78
9965455|28
1491222|20
2332035|109
4359467|331
5747656|563
9679068|7
10439906|79
9763972|92
14397511|6
144577|666
241868|266
414504|26
2937216|32
5669581|134
9746183|244
9542336|157
14364603|222
446794|319
360651|16
6352757|48
7576304|2003
12483770|257
240407|101
5173416|87
4641641|17
7224254|462
10230310|79
11944946|74
147538|36
446288|1620
7927714|96
9759157|12
10395657|721
9740989|61
147049|760
4606467|94
11569260|12
9766150|24
14410129|86
11409078|20
243742|42
246656|1584
3858389|814
4045715|126
4800130|38
6104637|156
12838994|254
14409390|458
12303284|256
246728|630
3337411|23
10433700|2
146350|97
5217231|70
9677153|4
8405115|79
10889465|230
10403171|28
10390456|5
11082973|31
13375304|40
1126493|330
2309924|38
4680060|19
4894100|23
5863342|292
7934570|15
14047181|13
13238587|67
13602440|24
6949565|46
6847274|53
7722483|28
10673390|25
245519|59
247222|205
4398292|757
7810184|430
6498716|56
10726803|23
10494021|42
9764303|61
10204919|43
12891682|22
245661|29
2558178|508
3214775|3815
5732364|9682
10423565|6
14351895|17
1683258|62
240835|82
145658|334
6384635|13
4876490|667
5753409|117
8310192|47
6426407|407
9750411|123
241920|149
4132150|476
5771394|21
6548989|644
9865820|382
10840837|510
10184411|32
10033213|113
10064355|180
1707731|2854
1107447|73
5761595|71
10394761|48
12230847|463
13144896|75
1550948|1038
147514|89
142050|42
145662|267
450940|111
7113237|2970
393235|261
2300859|222
9757556|16
10628191|350
10007223|69
11925301|421
14336010|9
7363795|39
8067150|105
10242658|15
13922588|23
1358107|95
706569|223
4915395|232
5402196|149
10773118|14
141791|412
5137893|373
7804864|86
10439890|15
12283601|18
14382482|110
6380366|1942
9671339|200
13184038|7
12543067|11
142741|88
9580020|8
10813122|58
9795517|26
10678266|22
901020|298
143243|26
1958536|16
4228624|71
5582502|34
6837911|140
13796428|45
13146851|359
142407|475
3156140|500
6331258|120
9680619|30
10033199|10
9832824|10
11642510|70
142077|7
5352556|4784
7927712|99
9680623|66
9745537|72
10010155|12
11447070|7
1245003|69
241314|107
142537|58
3508360|227
2895787|76
10848303|258
14498702|18
4413191|32
6674065|308
9720515|815
9896718|58
10438845|16
9690287|50
1499198|29
4155252|155
5503883|16
7529492|43
9737013|453
9751532|70
11147365|215
240246|80
247470|20
956609|36
7010767|166
10253491|33
245304|195
1656628|68
6452941|13
9688063|209
1553077|657
144244|217
249754|28
404599|443
247472|218
7787491|296
8811631|182
10726810|3
142738|48
1019803|40
6770058|533
9758828|56
12142349|38
13303771|11
